X,Y,ROAD,ROAD_NAME,COMMON_USAGE_NAME,SLK,CWY,TRUE_DIST,NETWORK_TYPE,RA_NO,RA_NAME,LG_NO,LG_NAME,XSP,DATE_APPROVED,DATE_INSTALLED,ASSET_NO,PANEL_COUNT,PANEL_01_DESIGN,PANEL_01_DESIGN_MEANING,PANEL_02_DESIGN,PANEL_02_DESIGN_MEANING,PANEL_03_DESIGN,PANEL_03_DESIGN_MEANING,PANEL_04_DESIGN,PANEL_04_DESIGN_MEANING,LATITUDE,LONGITUDE,REGULATORY_SIGN_TYPE,ROUTE_NE_ID,OBJECTID,PANEL_01_COMMENT,PANEL_02_COMMENT,PANEL_03_COMMENT,PANEL_04_COMMENT,GlobalID
114.92242,-29.274523,5080037,Hampton St,Hampton St,0.314,Single,0.314,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.274523,114.92242,Other,218606,22195788,,,,,{43401FE6-4377-4290-8341-EABAD26AF799}
114.92244,-29.274293,5080037,Hampton St,Hampton St,0.285,Single,0.285,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.274293,114.92244,Other,218606,22195789,,,,,{34B0A20E-9D78-47D9-9533-077C47399209}
114.922547,-29.274382,5080038,William St,William St,0.144,Single,0.144,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.274382,114.922547,Other,246104,22195790,,,,,{9522354C-304B-4051-B17F-0E78EDB34DFF}
114.921999,-29.271946,5080002,Point Leander Dr,Point Leander Dr,2.797,Single,2.797,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.271946,114.921999,Other,234139,22195791,,,,,{7ABD8FC8-BADE-4DF7-85E8-444B7B2E3DFB}
114.922528,-29.271803,5080002,Point Leander Dr,Point Leander Dr,2.727,Single,2.727,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.271803,114.922528,Other,234139,22195792,,,,,{8727BB4D-9A54-41BE-AB77-C3DF23A3004C}
114.929222,-29.251375,5080101,Cave Wy,Cave Wy,0.014,Single,0.014,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.251375,114.929222,Other,207703,22195793,,,,,{34D943D4-832F-4FFB-B3AD-1258E2EE67A1}
114.928379,-29.251424,5080003,Church St,Church St,0.24,Single,0.24,Local Road,14,Mid West-Gascoyne,508,Irwin,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.251424,114.928379,Other,208493,22195794,,,,,{4AD73161-8486-4694-9328-EAA4DF15E37B}
114.928382,-29.251518,5080003,Church St,Church St,0.24,Single,0.24,Local Road,14,Mid West-Gascoyne,508,Irwin,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.251518,114.928382,Other,208493,22195795,,,,,{E2A595CE-9B44-4832-BD76-0E7ECFB6AB22}
114.930503,-29.251546,5080003,Church St,Church St,0.042,Single,0.042,Local Road,14,Mid West-Gascoyne,508,Irwin,Verge,,,,2,MR-RS-7A,CATEGORY 2 - SCHOOL ZONE (600 X 1200),R4-9B,END SCHOOL ZONE (600 X 600),,,,,-29.251546,114.930503,Other,208493,22195796,,,,,{B4F8EE30-834B-4CCF-A439-053CE5B4BE09}
114.932518,-29.26019,5080079,Francis Rd,Francis Rd,0.012,Single,0.012,Local Road,14,Mid West-Gascoyne,508,Irwin,Median,,,,1,R2-3A(L),KEEP LEFT (450 X 600),,,,,,,-29.26019,114.932518,Other,215695,22195797,,,,,{BD7F9312-F1CE-43F9-8CE5-07F38F2E3B70}
